id,CRIME,INC,HOVAL
01,15.725980,19.531000,80.467003
02,18.801754,21.232000,44.567001
03,30.626781,15.956000,26.350000
04,32.387760,4.477000,33.200001
05,50.731510,11.252000,23.225000
06,26.066658,16.028999,28.750000
07,0.178269,8.438000,75.000000
08,38.425858,11.337000,37.125000
09,30.515917,17.586000,52.599998
10,34.000835,13.598000,96.400002
11,62.275448,7.467000,19.700001
12,56.705669,10.048000,19.900000
13,46.716129,9.549000,41.700001
14,57.066132,9.963000,42.900002
15,48.585487,9.873000,18.000000
16,54.838711,7.625000,18.799999
17,36.868774,9.798000,41.750000
18,43.962486,13.185000,60.000000
19,54.521965,11.618000,30.600000
20,0.223797,31.070000,81.266998
21,40.074074,10.655000,19.975000
22,33.705048,11.709000,30.450001
23,20.048504,21.155001,47.733002
24,38.297871,14.236000,53.200001
25,61.299175,8.461000,17.900000
26,40.969742,8.085000,20.299999
27,52.794430,10.822000,34.099998
28,56.919785,7.856000,22.850000
29,60.750446,8.681000,32.500000
30,68.892044,13.906000,22.500000
31,17.677214,16.940001,31.799999
32,19.145592,18.941999,40.299999
33,41.968163,9.918000,23.600000
34,23.974028,14.948000,28.450001
35,39.175053,12.814000,27.000000
36,14.305556,18.739000,36.299999
37,42.445076,17.017000,43.299999
38,53.710938,11.107000,22.700001
39,19.100863,18.476999,39.599998
40,16.241299,29.833000,61.950001
41,18.905146,22.207001,42.099998
42,16.491890,25.872999,44.333000
43,36.663612,13.380000,25.700001
44,25.962263,16.961000,33.500000
45,29.028488,14.135000,27.733000
46,16.530533,18.323999,76.099998
47,27.822861,18.950001,42.500000
48,26.645266,11.813000,26.799999
49,22.541491,18.796000,35.799999
