area,observed,expected,aff,log_E
1,9,1.4,1.6,0.336472
2,39,8.7,1.6,2.163323
3,11,3.0,1.0,1.098612
4,9,2.5,2.4,0.916291
5,15,4.3,1.0,1.458615
6,8,2.4,2.4,0.875469
7,26,8.1,1.0,2.091864
8,7,2.3,0.7,0.832909
9,6,2.0,0.7,0.693147
10,20,6.6,1.6,1.88707
11,13,4.4,0.7,1.481605
12,5,1.8,1.6,0.587787
13,3,1.1,1.0,0.09531
14,8,3.3,2.4,1.193922
15,17,7.8,0.7,2.054124
16,9,4.6,1.6,1.526056
17,2,1.1,1.0,0.09531
18,7,4.2,0.7,1.435085
19,9,5.5,0.7,1.704748
20,7,4.4,1.0,1.481605
21,16,10.5,0.7,2.351375
22,31,22.7,1.6,3.122365
23,11,8.8,1.0,2.174752
24,7,5.6,0.7,1.722767
25,19,15.5,0.1,2.74084
26,15,12.5,0.1,2.525729
27,7,6.0,0.7,1.791759
28,10,9.0,0.7,2.197225
29,16,14.4,1.0,2.667228
30,11,10.2,1.0,2.322388
31,5,4.8,0.7,1.568616
32,3,2.9,2.4,1.064711
33,7,7.0,1.0,1.94591
34,8,8.5,0.7,2.140066
35,11,12.3,0.7,2.509599
36,9,10.1,0.0,2.312535
37,11,12.7,1.0,2.541602
38,8,9.4,0.1,2.24071
39,6,7.2,1.6,1.974081
40,4,5.3,0.0,1.667707
41,10,18.8,0.1,2.933857
42,8,15.8,1.6,2.76001
43,2,4.3,1.6,1.458615
44,6,14.6,0.0,2.681022
45,19,50.7,0.1,3.925926
46,3,8.2,0.7,2.104134
47,2,5.6,0.1,1.722767
48,3,9.3,0.1,2.230014
49,28,88.7,0.0,4.48526
50,6,19.6,0.1,2.97553
51,1,3.4,0.1,1.223775
52,1,3.6,0.0,1.280934
53,1,5.7,0.1,1.740466
54,1,7.0,0.1,1.94591
55,0,4.2,1.6,1.435085
56,0,1.8,1.0,0.587787
