region,time,y
north,1,2.6629
south,1,1.5339
east,1,2.5202
west,1,1.7525
north,2,2.3322
south,2,1.7808
east,2,2.852
west,2,2.1735
north,3,2.2481
south,3,0.9673
east,3,1.8884
west,3,1.7207
north,4,1.4375
south,4,1.4906
east,4,1.577
west,4,1.3339
north,5,2.3279
south,5,1.4418
east,5,2.4058
west,5,2.2213
north,6,2.5357
south,6,2.2832
east,6,1.8674
west,6,1.8758
north,7,3.0517
south,7,1.647
east,7,1.8283
west,7,1.2391
north,8,2.3711
south,8,1.7101
east,8,1.6952
west,8,1.5954
north,9,2.5204
south,9,1.8704
east,9,2.3073
west,9,1.8777
north,10,2.2731
south,10,1.5352
east,10,2.592
west,10,2.4467
north,11,1.9705
south,11,2.357
east,11,2.8729
west,11,2.0907
north,12,2.7322
south,12,1.443
east,12,2.929
west,12,2.6801
north,13,3.5008
south,13,2.2576
east,13,2.3787
west,13,1.0958
north,14,2.5978
south,14,1.9282
east,14,1.5558
west,14,1.8976
north,15,2.8149
south,15,1.948
east,15,1.6079
west,15,1.3691
north,16,2.3818
south,16,1.0151
east,16,3.0697
west,16,1.452
north,17,2.7645
south,17,1.4707
east,17,2.9917
west,17,2.3602
north,18,2.9167
south,18,0.4982
east,18,2.226
west,18,2.0418
north,19,3.102
south,19,1.291
east,19,3.111
west,19,1.0398
north,20,2.2692
south,20,2.0675
east,20,2.2245
west,20,2.7012
