region,time,y
region_01,1,2.6387
region_01,2,1.4132
region_01,3,1.9361
region_01,4,2.2135
region_01,5,1.9556
region_01,6,2.5589
region_02,1,2.4155
region_02,2,2.2366
region_02,3,2.8553
region_02,4,2.5058
region_02,5,3.3292
region_02,6,2.9898
region_03,1,2.134
region_03,2,1.9583
region_03,3,1.7153
region_03,4,2.1448
region_03,5,2.4243
region_03,6,1.5293
region_04,1,2.8576
region_04,2,3.4147
region_04,3,3.1086
region_04,4,2.5411
region_04,5,3.2056
region_04,6,2.9343
region_05,1,1.4168
region_05,2,1.1052
region_05,3,1.7355
region_05,4,1.6275
region_05,5,1.1544
region_05,6,0.1717
region_06,1,2.4438
region_06,2,1.9653
region_06,3,3.2812
region_06,4,1.3036
region_06,5,1.9419
region_06,6,1.892
region_07,1,2.9317
region_07,2,2.7191
region_07,3,2.1116
region_07,4,2.4356
region_07,5,3.3485
region_07,6,2.1817
region_08,1,2.2723
region_08,2,1.165
region_08,3,2.5997
region_08,4,1.7902
region_08,5,1.849
region_08,6,3.1632
region_09,1,3.0426
region_09,2,1.5491
region_09,3,1.6653
region_09,4,2.4184
region_09,5,2.3718
region_09,6,1.4396
region_10,1,3.2392
region_10,2,3.4305
region_10,3,3.5846
region_10,4,2.9875
region_10,5,3.7213
region_10,6,2.695
region_11,1,2.7683
region_11,2,3.4262
region_11,3,2.8063
region_11,4,3.2186
region_11,5,2.6649
region_11,6,2.0383
region_12,1,1.228
region_12,2,2.0667
region_12,3,2.2973
region_12,4,3.2352
region_12,5,2.2858
region_12,6,2.4211
region_13,1,2.7907
region_13,2,2.2525
region_13,3,2.5431
region_13,4,3.2769
region_13,5,2.8784
region_13,6,2.3067
region_14,1,2.8513
region_14,2,2.5403
region_14,3,2.9607
region_14,4,3.0405
region_14,5,3.2609
region_14,6,3.0875
region_15,1,2.4565
region_15,2,2.3657
region_15,3,2.2834
region_15,4,3.1102
region_15,5,2.4039
region_15,6,2.0213
region_16,1,1.1353
region_16,2,1.6242
region_16,3,1.87
region_16,4,0.9383
region_16,5,1.124
region_16,6,0.6971
region_17,1,2.9845
region_17,2,2.1735
region_17,3,2.9786
region_17,4,2.8203
region_17,5,2.9963
region_17,6,2.7946
region_18,1,0.6384
region_18,2,0.5461
region_18,3,0.7393
region_18,4,1.3016
region_18,5,1.1876
region_18,6,1.3903
region_19,1,1.6372
region_19,2,0.9369
region_19,3,1.7878
region_19,4,1.3829
region_19,5,1.5868
region_19,6,1.7088
region_20,1,1.5696
region_20,2,1.3124
region_20,3,1.0574
region_20,4,1.9192
region_20,5,1.4105
region_20,6,0.9024
region_21,1,1.8313
region_21,2,1.1842
region_21,3,2.5188
region_21,4,2.0195
region_21,5,1.5664
region_21,6,2.9402
region_22,1,0.4451
region_22,2,1.4103
region_22,3,1.0855
region_22,4,1.8433
region_22,5,0.4693
region_22,6,0.4254
region_23,1,2.3283
region_23,2,1.4994
region_23,3,2.3628
region_23,4,1.8961
region_23,5,1.9207
region_23,6,1.7641
region_24,1,2.2933
region_24,2,2.2828
region_24,3,1.2427
region_24,4,2.3856
region_24,5,2.749
region_24,6,2.2964
