region,time,y
region_01,1,1
region_02,1,0
region_03,1,4
region_04,1,1
region_05,1,0
region_06,1,0
region_07,1,2
region_08,1,2
region_09,1,2
region_10,1,3
region_11,1,5
region_12,1,2
region_13,1,6
region_14,1,0
region_15,1,2
region_16,1,3
region_17,1,1
region_18,1,1
region_19,1,3
region_20,1,0
region_21,1,0
region_22,1,2
region_01,2,4
region_02,2,1
region_03,2,3
region_04,2,1
region_05,2,1
region_06,2,0
region_07,2,5
region_08,2,8
region_09,2,2
region_10,2,2
region_11,2,5
region_12,2,2
region_13,2,3
region_14,2,4
region_15,2,5
region_16,2,3
region_17,2,1
region_18,2,5
region_19,2,0
region_20,2,0
region_21,2,0
region_22,2,3
region_01,3,4
region_02,3,4
region_03,3,0
region_04,3,3
region_05,3,0
region_06,3,5
region_07,3,0
region_08,3,2
region_09,3,1
region_10,3,0
region_11,3,3
region_12,3,6
region_13,3,1
region_14,3,3
region_15,3,2
region_16,3,5
region_17,3,2
region_18,3,3
region_19,3,1
region_20,3,2
region_21,3,3
region_22,3,0
region_01,4,4
region_02,4,3
region_03,4,1
region_04,4,3
region_05,4,1
region_06,4,1
region_07,4,1
region_08,4,5
region_09,4,1
region_10,4,0
region_11,4,5
region_12,4,4
region_13,4,5
region_14,4,2
region_15,4,4
region_16,4,9
region_17,4,0
region_18,4,4
region_19,4,1
region_20,4,2
region_21,4,1
region_22,4,4
region_01,5,4
region_02,5,2
region_03,5,2
region_04,5,2
region_05,5,2
region_06,5,1
region_07,5,1
region_08,5,4
region_09,5,4
region_10,5,1
region_11,5,1
region_12,5,1
region_13,5,3
region_14,5,1
region_15,5,3
region_16,5,4
region_17,5,0
region_18,5,4
region_19,5,1
region_20,5,1
region_21,5,0
region_22,5,1
region_01,6,4
region_02,6,6
region_03,6,3
region_04,6,2
region_05,6,1
region_06,6,3
region_07,6,6
region_08,6,6
region_09,6,1
region_10,6,3
region_11,6,3
region_12,6,2
region_13,6,3
region_14,6,1
region_15,6,2
region_16,6,9
region_17,6,1
region_18,6,2
region_19,6,1
region_20,6,1
region_21,6,1
region_22,6,4
