state,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Alabama,20329,21129,22123,22987,23471,24467,25161,26065,27665,29097,30634,31988,32819,32274
Arizona,21611,22781,24133,25189,25578,26232,26469,27106,28753,30671,32552,33470,33445,32077
Arkansas,19442,20229,21260,22244,22257,23532,23929,25074,26465,27512,29041,31070,31800,31493
California,25563,26759,28280,29910,32275,32750,32900,33801,35663,37463,40169,41943,42377,40902
Colorado,26231,27950,29860,31546,32949,34228,33963,34092,35543,37388,39662,41165,41719,40093
Connecticut,33472,35596,37452,39300,40640,42279,42021,42398,45009,47022,51133,53930,54528,52736
Delaware,26640,27405,29571,30778,31255,32664,33463,34123,35998,37297,39358,40251,40698,40135
Florida,24616,25722,26930,27780,28145,28852,29499,30277,32462,34460,36934,37781,37808,36565
Georgia,23586,24547,26134,27340,27940,28596,28660,29060,29995,31498,32739,33895,34127,33086
Idaho,20353,20830,21923,22835,24180,25124,25485,25912,27846,29003,30954,32168,32322,30987
Illinois,27005,28347,29974,31145,32259,32808,33325,34205,35599,36825,39220,41238,42049,40933
Indiana,22775,23748,25182,26143,27011,27590,28059,29089,30126,30768,32305,33151,33978,33174
Iowa,22713,23798,24844,25615,26723,27315,28232,28835,31027,31656,33177,35008,36726,35983
Kansas,23121,24355,25687,26824,27816,28979,29067,30109,31181,32367,34934,36546,37983,37036
Kentucky,20155,21215,22353,23237,24294,24816,25297,25777,26891,27881,29392,30443,31302,31250
Louisiana,20254,21209,22352,22847,23334,25116,25683,26434,27776,29785,33438,34986,35730,35151
Maine,21293,22305,23529,24603,25623,27068,27731,28727,30201,30721,32340,33620,34906,35268
Maryland,27844,29222,30850,32465,33872,35430,36293,37309,39651,41555,43990,45827,47040,47159
Massachusetts,29618,31332,33394,35551,37992,39247,39238,39869,41792,43520,46893,49361,50607,49590
Michigan,24447,25570,26807,28113,29612,30196,30410,31446,31890,32516,33452,34441,35215,34280
Minnesota,26267,27548,29503,30793,32101,32835,33553,34744,36505,37400,39367,41059,42299,40920
Mississippi,18044,18885,20013,20688,20993,22222,22540,23365,24501,26120,27276,28772,29591,29318
Missouri,23099,24252,25403,26376,27445,28156,28771,29702,30847,31644,33354,34558,35775,35106
Montana,19383,20167,21324,22019,22569,24342,24699,25963,27517,28987,30942,32625,33293,32699
Nebraska,24045,24590,25861,27049,27829,29098,29499,31262,32371,33395,34753,36880,38128,37057
Nevada,27142,28201,29806,31022,30529,30718,30849,32182,34757,37555,38652,40326,40332,38009
New Hampshire,26042,27607,29679,31114,33332,33940,34335,34892,36758,37536,39997,41720,42461,41882
New Jersey,30795,32372,34310,35551,36983,37959,38240,38768,40603,42142,45668,48172,49233,48123
New Mexico,19478,20233,21178,21853,22203,24193,24446,25128,26606,28180,29778,31320,32585,32197
New York,29266,30480,32236,33890,34547,35371,35332,36077,38312,40592,43892,47514,48692,46844
North Carolina,22940,24188,25454,26003,27194,27650,27726,28208,29769,31209,32692,33966,34340,33564
North Dakota,21166,20798,22767,23313,25068,26118,26770,29109,29676,31644,32856,35882,39009,38672
Ohio,23613,24913,26164,27152,28400,28966,29522,30345,31240,32097,33643,34814,35521,35018
Oklahoma,20151,21106,22199,22953,23517,25059,25059,25719,27516,29122,31753,32781,34378,33708
Oregon,23649,24845,25958,27023,28350,28866,29387,30172,31217,32108,34212,35279,35899,35210
Pennsylvania,24838,26092,27358,28605,29539,30085,30840,31709,33069,34131,36375,38003,39008,38827
Rhode Island,25123,26631,28012,29377,29685,31378,32374,33690,35318,36461,38610,40421,41542,41283
South Carolina,20403,21385,22544,23545,24321,24871,25279,25875,27057,28337,29990,30958,31510,30835
South Dakota,21736,22275,23797,25045,26115,27531,27727,30072,31765,32726,33320,35998,38188,36499
Tennessee,22450,23324,24576,25574,26239,27059,27647,28501,29734,30764,32314,33578,34243,33512
Texas,22557,24242,25803,26858,27871,28519,28295,28929,30392,32448,34489,36020,36969,35674
Utah,19955,21156,22294,23288,23907,24899,25010,25192,26169,27905,29582,31009,31253,30107
Vermont,22295,23362,24803,25889,26901,28140,28651,29609,31240,31920,34394,36018,36940,36752
Virginia,25495,26768,28343,29789,31162,32747,33235,34451,36285,38304,40644,42506,43409,43211
Washington,25287,26817,28632,30392,31528,32053,32206,32934,34984,35738,38477,40782,41588,40619
West Virginia,18566,19388,20246,20966,21915,23333,24103,24626,25484,26374,28379,29769,31265,31843
Wisconsin,23554,24790,26245,27390,28232,29161,29838,30657,31703,32625,34535,35839,36594,35676
Wyoming,22098,23820,24927,26396,27230,29122,29828,31544,33721,36683,41548,43453,45177,42504
